episode,phase,total_reward,steps,epsilon,success
525,warmup,-181.0000,69,0.769076,1
526,warmup,17.0000,61,0.768691,1
527,warmup,-21.0000,61,0.768307,1
528,warmup,-267.0000,155,0.767923,1
529,warmup,35.0000,43,0.767539,1
530,warmup,-199.0000,106,0.767155,1
531,warmup,-21.0000,42,0.766772,1
532,warmup,-165.0000,72,0.766388,1
533,warmup,41.0000,56,0.766005,1
534,warmup,-27.0000,86,0.765622,1
535,warmup,-403.0000,158,0.765239,1
536,warmup,-53.0000,93,0.764857,1
537,warmup,77.0000,39,0.764474,1
538,warmup,-21.0000,99,0.764092,1
539,warmup,95.0000,40,0.763710,1
540,warmup,71.0000,45,0.763328,1
541,warmup,39.0000,39,0.762946,1
542,warmup,-201.0000,108,0.762565,1
543,warmup,73.0000,43,0.762184,1
544,warmup,-113.0000,134,0.761802,1
545,warmup,7.0000,33,0.761422,1
546,warmup,3.0000,94,0.761041,1
547,warmup,-89.0000,72,0.760660,1
548,warmup,57.0000,40,0.760280,1
549,warmup,19.0000,59,0.759900,1
550,warmup,-183.0000,90,0.759520,1
551,warmup,-91.0000,93,0.759140,1
552,warmup,35.0000,62,0.758761,1
553,warmup,83.0000,33,0.758381,1
554,warmup,-127.0000,148,0.758002,1
555,warmup,93.0000,42,0.757623,1
556,warmup,11.0000,67,0.757244,1
557,warmup,-49.0000,70,0.756866,1
558,warmup,-1.0000,41,0.756487,1
559,warmup,43.0000,73,0.756109,1
560,warmup,-43.0000,83,0.755731,1
561,warmup,-71.0000,73,0.755353,1
562,warmup,43.0000,35,0.754975,1
563,warmup,83.0000,52,0.754598,1
564,warmup,-123.0000,68,0.754220,1
565,warmup,-119.0000,102,0.753843,1
566,warmup,13.0000,65,0.753466,1
567,warmup,41.0000,56,0.753090,1
568,warmup,-83.0000,85,0.752713,1
569,warmup,-11.0000,89,0.752337,1
570,warmup,-29.0000,88,0.751961,1
571,warmup,19.0000,97,0.751585,1
572,warmup,-65.0000,67,0.751209,1
573,warmup,-13.0000,53,0.750833,1
574,warmup,55.0000,42,0.750458,1
575,warmup,49.0000,29,0.750083,1
576,warmup,-39.0000,41,0.749708,1
577,warmup,25.0000,72,0.749333,1
578,warmup,-105.0000,69,0.748958,1
579,warmup,89.0000,46,0.748584,1
580,warmup,17.0000,61,0.748209,1
581,warmup,-11.0000,51,0.747835,1
582,warmup,-39.0000,79,0.747461,1
583,warmup,-455.0000,115,0.747088,1
584,warmup,-191.0000,155,0.746714,1
585,warmup,-253.0000,141,0.746341,1
586,warmup,21.0000,57,0.745967,1
587,warmup,3.0000,56,0.745594,1
588,warmup,-115.0000,98,0.745222,1
589,warmup,-7.0000,66,0.744849,1
590,warmup,-287.0000,118,0.744477,1
591,warmup,-201.0000,127,0.744104,1
592,warmup,-133.0000,135,0.743732,1
593,warmup,-105.0000,107,0.743361,1
594,warmup,-105.0000,88,0.742989,1
595,warmup,-13.0000,53,0.742617,1
596,warmup,-9.0000,87,0.742246,1
597,warmup,-1.0000,79,0.741875,1
598,warmup,-73.0000,75,0.741504,1
599,warmup,7.0000,52,0.741133,1
600,warmup,-57.0000,97,0.740763,1
601,warmup,-93.0000,76,0.740392,1
602,warmup,-27.0000,86,0.740022,1
603,warmup,-141.0000,67,0.739652,1
604,warmup,-131.0000,57,0.739282,1
605,warmup,-69.0000,90,0.738913,1
606,warmup,-215.0000,103,0.738543,1
607,warmup,-179.0000,105,0.738174,1
608,warmup,37.0000,41,0.737805,1
609,warmup,49.0000,67,0.737436,1
610,warmup,3.0000,56,0.737067,1
611,warmup,87.0000,48,0.736699,1
612,warmup,-121.0000,66,0.736330,1
613,warmup,31.0000,47,0.735962,1
614,warmup,-139.0000,65,0.735594,1
615,warmup,53.0000,25,0.735226,1
616,warmup,-31.0000,71,0.734859,1
617,warmup,-49.0000,70,0.734491,1
618,warmup,-155.0000,100,0.734124,1
619,warmup,69.0000,47,0.733757,1
620,warmup,-207.0000,114,0.733390,1
621,warmup,85.0000,31,0.733023,1
622,warmup,-147.0000,111,0.732657,1
623,warmup,59.0000,57,0.732291,1
624,warmup,47.0000,50,0.731924,1
625,warmup,97.0000,38,0.731558,1
626,warmup,-175.0000,139,0.731193,1
627,warmup,51.0000,65,0.730827,1
628,warmup,-157.0000,83,0.730462,1
629,warmup,9.0000,50,0.730096,1
630,warmup,11.0000,67,0.729731,1
631,warmup,-177.0000,84,0.729367,1
632,warmup,-163.0000,146,0.729002,1
633,warmup,-107.0000,71,0.728637,1
634,warmup,-177.0000,122,0.728273,1
635,warmup,11.0000,86,0.727909,1
636,warmup,-43.0000,45,0.727545,1
637,warmup,71.0000,64,0.727181,1
638,warmup,-15.0000,93,0.726818,1
639,warmup,-43.0000,45,0.726454,1
640,warmup,-369.0000,105,0.726091,1
641,warmup,-43.0000,64,0.725728,1
642,warmup,57.0000,40,0.725365,1
643,warmup,9.0000,50,0.725002,1
644,warmup,-191.0000,155,0.724640,1
645,warmup,39.0000,58,0.724278,1
646,warmup,-7.0000,66,0.723915,1
647,warmup,5.0000,54,0.723553,1
648,warmup,27.0000,51,0.723192,1
649,warmup,-185.0000,111,0.722830,1
650,warmup,13.0000,46,0.722469,1
651,warmup,69.0000,47,0.722107,1
652,warmup,-11.0000,51,0.721746,1
653,warmup,81.0000,35,0.721385,1
654,warmup,-131.0000,76,0.721025,1
655,warmup,81.0000,35,0.720664,1
656,warmup,57.0000,40,0.720304,1
657,warmup,95.0000,40,0.719944,1
658,warmup,-185.0000,92,0.719584,1
659,warmup,-105.0000,88,0.719224,1
660,warmup,31.0000,47,0.718864,1
661,warmup,-63.0000,46,0.718505,1
662,warmup,39.0000,39,0.718146,1
663,warmup,73.0000,43,0.717787,1
664,warmup,-37.0000,58,0.717428,1
665,warmup,77.0000,39,0.717069,1
